item_id,catId,director,characteristic,attack_img_url,defence_img_url,tactic_settings_img_url
"6","5","Nemesis한지민","독특한 4-1-1-4","http://cdn.gamemeca.com/gm_etc/000/000/06/ss2.jpg","http://cdn.gamemeca.com/gm_etc/000/000/06/ss1.jpg","http://cdn.gamemeca.com/gm_etc/000/000/06/ss3.jpg"
"72","6","AdelRusy","공격적인 2-3-3-2","http://cdn.gamemeca.com/gm_etc/000/000/72/ar1212_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/72/ar1212_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/72/ar1212_ma.jpg"
"35","6","FeLLaz릉릉","피파온라인3 챔피언쉽 준우승","http://cdn.gamemeca.com/gm_etc/000/000/35/forr_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/35/forr_di.jpg","http://cdn.gamemeca.com/gm_etc/000/000/35/forr_ma.jpg"
"28","6","SANAI딸몬","중앙 돌파 특화 3톱","http://cdn.gamemeca.com/gm_etc/000/000/28/a2.jpg","http://cdn.gamemeca.com/gm_etc/000/000/28/a1.jpg","http://cdn.gamemeca.com/gm_etc/000/000/28/a3.jpg"
"73","7","Amigo실력","점유율 주도를 위한 변형 3-5-2","http://cdn.gamemeca.com/gm_etc/000/000/73/as0102_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/73/as0102_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/73/as0102_ma.jpg"
"57","7","Terran고스트","공격에 특화된 3-2-5","http://cdn.gamemeca.com/gm_etc/000/000/57/tg1128_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/57/tg1128_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/57/tg1128_ma.jpg"
"55","7","Vanish재준","강한 수비","http://cdn.gamemeca.com/gm_etc/000/000/55/vj1128_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/55/vj1128_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/55/vj1128_ma.jpg"
"84","8","Aurora형민","점유율을 확실히 가져오는 3백","http://cdn.gamemeca.com/gm_etc/000/000/84/ah_a.jpg","http://cdn.gamemeca.com/gm_etc/000/000/84/ah_d.jpg","http://cdn.gamemeca.com/gm_etc/000/000/84/ah_t.jpg"
"78","8","GET막창","14시즌 활용","http://cdn.gamemeca.com/gm_etc/000/000/78/a1.jpg","http://cdn.gamemeca.com/gm_etc/000/000/78/a2.jpg","http://cdn.gamemeca.com/gm_etc/000/000/78/a3.jpg"
"60","8","VIsual원창연","중앙 특화 형태의 3-5-2","http://cdn.gamemeca.com/gm_etc/000/000/60/vw1201_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/60/vw1201_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/60/vw1201_ma.jpg"
"52","8","GalaxyStar이승환","2013 썸머 리그 준우승","http://cdn.gamemeca.com/gm_etc/000/000/52/fo3gl1120_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/52/fo3gl1120_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/52/fo3gl1120_ma.jpg"
"47","8","UEFA갓재빈","크로스 플레이의 정석","http://cdn.gamemeca.com/gm_etc/000/000/47/aj1112_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/47/aj1112_df.jpg","http://cdn.gamemeca.com/gm_etc/000/000/47/aj1112_ma.jpg"
"36","8","창모드","많은 숫자의 미드필더가 핵심","http://cdn.gamemeca.com/gm_etc/000/000/36/fo3ca_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/36/fo3ca_di.jpg","http://cdn.gamemeca.com/gm_etc/000/000/36/fo3ca_ma.jpg"
"32","8","강민경의골반스킬","밸런스 극대화","http://cdn.gamemeca.com/gm_etc/000/000/32/foijij_at.jpg","http://cdn.gamemeca.com/gm_etc/000/000/32/foijij_di.jpg","http://cdn.gamemeca.com/gm_etc/000/000/32/foijij_ma.jpg"
"19","8","Exodus부에노","높은 점유율 축구","http://cdn.gamemeca.com/gm_etc/000/000/19/ss10.jpg","http://cdn.gamemeca.com/gm_etc/000/000/19/ss11.jpg","http://cdn.gamemeca.com/gm_etc/000/000/19/ss12.jpg"
"11","8","MaJorControl","스루패스+크로스","http://cdn.gamemeca.com/gm_etc/000/000/11/d1.jpg","http://cdn.gamemeca.com/gm_etc/000/000/11/d2.jpg","http://cdn.gamemeca.com/gm_etc/000/000/11/d3.jpg"
"10","8","Exodus루키","크로스 특화","http://cdn.gamemeca.com/gm_etc/000/000/10/c1.jpg","http://cdn.gamemeca.com/gm_etc/000/000/10/c2.jpg","http://cdn.gamemeca.com/gm_etc/000/000/10/c3.jpg"
"5","8","UEFAGod","3-5-2 기본형","http://cdn.gamemeca.com/gm_etc/000/000/05/a001.jpg","http://cdn.gamemeca.com/gm_etc/000/000/05/a002.jpg","http://cdn.gamemeca.com/gm_etc/000/000/05/a003.jpg"
"15","9","잠에서깨어바라본","매니저모드 전술","http://cdn.gamemeca.com/gm_etc/000/000/15/h2.jpg","http://cdn.gamemeca.com/gm_etc/000/000/15/h1.jpg","http://cdn.gamemeca.com/gm_etc/000/000/15/h3.jpg"
